YearEnd,LocationAbbr,State,DataSource,Topic,Question,DataValueUnit,DataValueType,DataValue,DataValueAlt,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1,Overall Public School Rank 2021,Higher Ed Quality 2021,School Safety Rank 2021
2019,AL,Alabama,NVSS,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,219.0,219.0,214.7,223.3,Race/Ethnicity,"White, non-Hispanic",1,CVD,CVD09,AGEADJRATE,RACE,WHT,44,46,17
2019,AR,Arkansas,BRFSS,Cardiovascular Disease,Taking medicine to control high blood pressure among adults with high blood pressure,%,Age-adjusted Prevalence,63.2,63.2,59.3,66.9,Overall,Overall,5,CVD,CVD02,AGEADJPREV,OVERALL,OVR,42,39,51
2019,AL,Alabama,BRFSS,Cardiovascular Disease,Taking medicine for high cholesterol among adults,%,Crude Prevalence,54.0,54.0,51.5,56.4,Age,Age >=65,1,CVD,CVD04,CRDPREV,AGE,AGE65P,44,46,17
2019,AR,Arkansas,BRFSS,Cardiovascular Disease,High cholesterol among adults who have been screened,%,Crude Prevalence,33.7,33.7,28.5,39.2,Race/Ethnicity,"Black, non-Hispanic",5,CVD,CVD03,CRDPREV,RACE,BLK,42,39,51
2019,AL,Alabama,BRFSS,Cardiovascular Disease,High cholesterol among adults who have been screened,%,Crude Prevalence,31.3,31.3,20.7,44.2,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",1,CVD,CVD03,CRDPREV,RACE,AIAN,44,46,17
2019,AK,Alaska,BRFSS,Cardiovascular Disease,High cholesterol among adults who have been screened,%,Crude Prevalence,31.9,31.9,29.0,35.0,Race/Ethnicity,"White, non-Hispanic",2,CVD,CVD03,CRDPREV,RACE,WHT,48,50,34
2019,AZ,Arizona,NVSS,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause","cases per 100,000",Crude Rate,189.2,189.2,181.8,196.7,Age,Age >=65,4,CVD,CVD07,CRDRATE,AGE,AGE65P,49,50,31
2019,AL,Alabama,NVSS,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause","cases per 100,000",Crude Rate,238.4,238.4,230.0,246.8,Race/Ethnicity,"Black, non-Hispanic",1,CVD,CVD09,CRDRATE,RACE,BLK,44,46,17
2019,AR,Arkansas,BRFSS,Cardiovascular Disease,High blood pressure among adults,%,Crude Prevalence,53.3,53.3,50.3,56.2,Age,Age 45-64,5,CVD,CVD01,CRDPREV,AGE,AGE4564,42,39,51
2019,AK,Alaska,BRFSS,Cardiovascular Disease,High cholesterol among adults who have been screened,%,Crude Prevalence,38.1,38.1,33.9,42.5,Age,Age 45-64,2,CVD,CVD03,CRDPREV,AGE,AGE4564,48,50,34
2019,AZ,Arizona,NVSS,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,74.7,74.7,63.1,86.4,Race/Ethnicity,"Asian, non-Hispanic",4,CVD,CVD09,AGEADJRATE,RACE,ASN,49,50,31
2019,CA,California,BRFSS,Cardiovascular Disease,Taking medicine for high cholesterol among adults,%,Crude Prevalence,48.2,48.2,45.7,50.7,Age,Age >=65,6,CVD,CVD04,CRDPREV,AGE,AGE65P,37,38,32
2019,AL,Alabama,NVSS,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,48.3,48.3,46.3,50.3,Race/Ethnicity,"White, non-Hispanic",1,CVD,CVD07,AGEADJRATE,RACE,WHT,44,46,17
2019,AL,Alabama,BRFSS,Cardiovascular Disease,High blood pressure among adults,%,Age-adjusted Prevalence,66.4,66.4,53.9,76.9,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",1,CVD,CVD01,AGEADJPREV,RACE,AIAN,44,46,17
2019,CA,California,BRFSS,Cardiovascular Disease,High cholesterol among adults who have been screened,%,Crude Prevalence,27.3,27.3,25.6,29.1,Race/Ethnicity,Hispanic,6,CVD,CVD03,CRDPREV,RACE,HIS,37,38,32
2019,AK,Alaska,BRFSS,Cardiovascular Disease,High blood pressure among adults,%,Crude Prevalence,33.0,33.0,21.3,47.3,Race/Ethnicity,"Multiracial, non-Hispanic",2,CVD,CVD01,CRDPREV,RACE,MRC,48,50,34
2019,AL,Alabama,BRFSS,Cardiovascular Disease,Taking medicine for high cholesterol among adults,%,Crude Prevalence,31.3,31.3,20.7,44.2,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",1,CVD,CVD04,CRDPREV,RACE,AIAN,44,46,17
2019,AL,Alabama,BRFSS,Cardiovascular Disease,High cholesterol among adults who have been screened,%,Crude Prevalence,27.3,27.3,17.6,39.7,Race/Ethnicity,Hispanic,1,CVD,CVD03,CRDPREV,RACE,HIS,44,46,17
2019,AZ,Arizona,BRFSS,Cardiovascular Disease,Taking medicine to control high blood pressure among adults with high blood pressure,%,Age-adjusted Prevalence,55.1,55.1,45.8,64.1,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",4,CVD,CVD02,AGEADJPREV,RACE,AIAN,49,50,31
2019,CA,California,NVSS,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,88.7,88.7,87.6,89.9,Race/Ethnicity,"White, non-Hispanic",6,CVD,CVD08,AGEADJRATE,RACE,WHT,37,38,32
2019,CA,California,NVSS,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause","cases per 100,000",Crude Rate,1.9,1.9,1.7,2.1,Age,Age 0-44,6,CVD,CVD08,CRDRATE,AGE,AGE0_44,37,38,32
2019,CA,California,BRFSS,Cardiovascular Disease,High blood pressure among adults,%,Crude Prevalence,12.5,12.5,11.4,13.7,Age,Age 18-44,6,CVD,CVD01,CRDPREV,AGE,AGE1844,37,38,32
2019,AZ,Arizona,NVSS,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause","cases per 100,000",Crude Rate,61.0,61.0,57.8,64.2,Race/Ethnicity,Hispanic,4,CVD,CVD09,CRDRATE,RACE,HIS,49,50,31
2019,CA,California,NVSS,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,21.9,21.9,17.9,25.8,Race/Ethnicity,"Multiracial, non-Hispanic",6,CVD,CVD07,AGEADJRATE,RACE,MRC,37,38,32
2019,AK,Alaska,BRFSS,Cardiovascular Disease,High cholesterol among adults who have been screened,%,Age-adjusted Prevalence,18.5,18.5,12.0,27.3,Race/Ethnicity,"Multiracial, non-Hispanic",2,CVD,CVD03,AGEADJPREV,RACE,MRC,48,50,34
2019,AL,Alabama,BRFSS,Cardiovascular Disease,Taking medicine for high cholesterol among adults,%,Age-adjusted Prevalence,31.9,31.9,29.8,34.1,Sex,Male,1,CVD,CVD04,AGEADJPREV,SEX,SEXM,44,46,17
2019,AZ,Arizona,BRFSS,Cardiovascular Disease,High blood pressure among adults,%,Age-adjusted Prevalence,55.3,55.3,48.3,62.1,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",4,CVD,CVD01,AGEADJPREV,RACE,AIAN,49,50,31
2019,AR,Arkansas,BRFSS,Cardiovascular Disease,Taking medicine for high cholesterol among adults,%,Age-adjusted Prevalence,32.0,32.0,29.3,34.9,Sex,Male,5,CVD,CVD04,AGEADJPREV,SEX,SEXM,42,39,51
2019,AL,Alabama,BRFSS,Cardiovascular Disease,Taking medicine to control high blood pressure among adults with high blood pressure,%,Crude Prevalence,86.8,86.8,84.4,89.0,Age,Age 45-64,1,CVD,CVD02,CRDPREV,AGE,AGE4564,44,46,17
2019,AL,Alabama,NVSS,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause","cases per 100,000",Crude Rate,65.2,65.2,47.9,86.8,Race/Ethnicity,"Asian, non-Hispanic",1,CVD,CVD09,CRDRATE,RACE,ASN,44,46,17
2019,AK,Alaska,BRFSS,Cardiovascular Disease,Taking medicine to control high blood pressure among adults with high blood pressure,%,Age-adjusted Prevalence,43.8,43.8,38.7,49.0,Sex,Male,2,CVD,CVD02,AGEADJPREV,SEX,SEXM,48,50,34
2019,AZ,Arizona,BRFSS,Cardiovascular Disease,Taking medicine for high cholesterol among adults,%,Crude Prevalence,16.6,16.6,14.2,19.3,Age,Age 18-44,4,CVD,CVD04,CRDPREV,AGE,AGE1844,49,50,31
2019,CA,California,NVSS,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause","cases per 100,000",Crude Rate,139.4,139.4,137.8,141.1,Sex,Female,6,CVD,CVD09,CRDRATE,SEX,SEXF,37,38,32
2019,AK,Alaska,NVSS,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause","cases per 100,000",Crude Rate,39.7,39.7,33.1,46.3,Sex,Female,2,CVD,CVD08,CRDRATE,SEX,SEXF,48,50,34
2019,AZ,Arizona,BRFSS,Cardiovascular Disease,High cholesterol among adults who have been screened,%,Age-adjusted Prevalence,29.6,29.6,25.9,33.5,Race/Ethnicity,Hispanic,4,CVD,CVD03,AGEADJPREV,RACE,HIS,49,50,31
2019,AZ,Arizona,BRFSS,Cardiovascular Disease,High blood pressure among adults,%,Crude Prevalence,35.3,35.3,21.3,52.4,Race/Ethnicity,"Multiracial, non-Hispanic",4,CVD,CVD01,CRDPREV,RACE,MRC,49,50,31
2019,AL,Alabama,CMS Part A Claims Data,Cardiovascular Disease,"Hospitalization for heart failure as principal diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Age-adjusted Rate,29.23,29.23,28.57,29.89,Sex,Female,1,CVD,CVD06,AGEADJRATE,SEX,SEXF,44,46,17
2019,AZ,Arizona,NVSS,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,75.5,75.5,55.1,101.0,Race/Ethnicity,"Multiracial, non-Hispanic",4,CVD,CVD08,AGEADJRATE,RACE,MRC,49,50,31
2019,AL,Alabama,BRFSS,Cardiovascular Disease,High blood pressure among adults,%,Crude Prevalence,40.8,40.8,38.9,42.8,Sex,Female,1,CVD,CVD01,CRDPREV,SEX,SEXF,44,46,17
2019,AZ,Arizona,NVSS,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause","cases per 100,000",Crude Rate,18.3,18.3,16.5,20.0,Race/Ethnicity,Hispanic,4,CVD,CVD07,CRDRATE,RACE,HIS,49,50,31
2019,CA,California,BRFSS,Cardiovascular Disease,High blood pressure among adults,%,Age-adjusted Prevalence,53.4,53.4,42.9,63.6,Race/Ethnicity,"Multiracial, non-Hispanic",6,CVD,CVD01,AGEADJPREV,RACE,MRC,37,38,32
2019,AL,Alabama,BRFSS,Cardiovascular Disease,High cholesterol among adults who have been screened,%,Age-adjusted Prevalence,31.9,31.9,30.0,33.9,Sex,Female,1,CVD,CVD03,AGEADJPREV,SEX,SEXF,44,46,17
2019,AR,Arkansas,BRFSS,Cardiovascular Disease,High cholesterol among adults who have been screened,%,Crude Prevalence,54.0,54.0,36.5,70.6,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",5,CVD,CVD03,CRDPREV,RACE,AIAN,42,39,51
2019,CA,California,NVSS,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,110.6,110.6,109.1,112.1,Sex,Male,6,CVD,CVD08,AGEADJRATE,SEX,SEXM,37,38,32
2019,AZ,Arizona,NVSS,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause","cases per 100,000",Crude Rate,97.2,97.2,85.8,108.6,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",4,CVD,CVD09,CRDRATE,RACE,AIAN,49,50,31
2019,CA,California,NVSS,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,130.3,130.3,111.1,149.4,Race/Ethnicity,"Hawaiian or Pacific Islander, non-Hispanic",6,CVD,CVD08,AGEADJRATE,RACE,HAPI,37,38,32
2019,AK,Alaska,NVSS,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause","cases per 100,000",Crude Rate,307.9,307.9,272.0,343.8,Age,Age >=65,2,CVD,CVD08,CRDRATE,AGE,AGE65P,48,50,34
2019,AR,Arkansas,BRFSS,Cardiovascular Disease,High cholesterol among adults who have been screened,%,Age-adjusted Prevalence,32.2,32.2,29.7,34.8,Sex,Female,5,CVD,CVD03,AGEADJPREV,SEX,SEXF,42,39,51
2019,AL,Alabama,NVSS,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,48.7,48.7,46.3,51.0,Sex,Female,1,CVD,CVD07,AGEADJRATE,SEX,SEXF,44,46,17
2019,CA,California,CMS Part A Claims Data,Cardiovascular Disease,"Hospitalization for heart failure as principal diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Crude Rate,22.2,22.2,21.97,22.44,Sex,Female,6,CVD,CVD06,CRDRATE,SEX,SEXF,37,38,32
2019,AZ,Arizona,BRFSS,Cardiovascular Disease,Taking medicine to control high blood pressure among adults with high blood pressure,%,Age-adjusted Prevalence,50.3,50.3,46.0,54.6,Sex,Male,4,CVD,CVD02,AGEADJPREV,SEX,SEXM,49,50,31
2019,AK,Alaska,BRFSS,Cardiovascular Disease,Taking medicine for high cholesterol among adults,%,Crude Prevalence,31.7,31.7,28.8,34.7,Race/Ethnicity,"White, non-Hispanic",2,CVD,CVD04,CRDPREV,RACE,WHT,48,50,34
2019,CA,California,CMS Part A Claims Data,Cardiovascular Disease,"Hospitalization for heart failure as principal diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Crude Rate,26.92,26.92,23.85,29.99,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",6,CVD,CVD06,CRDRATE,RACE,AIAN,37,38,32
2019,CA,California,BRFSS,Cardiovascular Disease,High blood pressure among adults,%,Crude Prevalence,31.3,31.3,19.2,46.6,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",6,CVD,CVD01,CRDPREV,RACE,AIAN,37,38,32
2019,AK,Alaska,CMS Part A Claims Data,Cardiovascular Disease,"Hospitalization for heart failure as principal diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Age-adjusted Rate,14.85,14.85,8.6,21.1,Race/Ethnicity,"Black, non-Hispanic",2,CVD,CVD06,AGEADJRATE,RACE,BLK,48,50,34
2019,AL,Alabama,BRFSS,Cardiovascular Disease,High blood pressure among adults,%,Age-adjusted Prevalence,56.9,56.9,42.5,70.2,Race/Ethnicity,"Multiracial, non-Hispanic",1,CVD,CVD01,AGEADJPREV,RACE,MRC,44,46,17
2019,AK,Alaska,NVSS,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,62.0,62.0,55.8,68.2,Overall,Overall,2,CVD,CVD08,AGEADJRATE,OVERALL,OVR,48,50,34
2019,CA,California,BRFSS,Cardiovascular Disease,Taking medicine for high cholesterol among adults,%,Crude Prevalence,25.8,25.8,21.4,30.7,Race/Ethnicity,"Black, non-Hispanic",6,CVD,CVD04,CRDPREV,RACE,BLK,37,38,32
2019,CA,California,NVSS,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause","cases per 100,000",Crude Rate,65.4,65.4,63.3,67.4,Race/Ethnicity,"Asian, non-Hispanic",6,CVD,CVD08,CRDRATE,RACE,ASN,37,38,32
2019,CA,California,BRFSS,Cardiovascular Disease,High cholesterol among adults who have been screened,%,Age-adjusted Prevalence,27.0,27.0,25.4,28.7,Race/Ethnicity,"White, non-Hispanic",6,CVD,CVD03,AGEADJPREV,RACE,WHT,37,38,32
2019,AZ,Arizona,NVSS,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,136.5,136.5,133.8,139.3,Race/Ethnicity,"White, non-Hispanic",4,CVD,CVD09,AGEADJRATE,RACE,WHT,49,50,31
2019,AR,Arkansas,BRFSS,Cardiovascular Disease,Taking medicine for high cholesterol among adults,%,Age-adjusted Prevalence,31.9,31.9,29.8,34.1,Race/Ethnicity,"White, non-Hispanic",5,CVD,CVD04,AGEADJPREV,RACE,WHT,42,39,51
2019,AK,Alaska,NVSS,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause","cases per 100,000",Crude Rate,122.5,122.5,112.1,132.8,Race/Ethnicity,"White, non-Hispanic",2,CVD,CVD09,CRDRATE,RACE,WHT,48,50,34
2019,AK,Alaska,NVSS,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause","cases per 100,000",Crude Rate,160.4,160.4,136.5,184.3,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",2,CVD,CVD09,CRDRATE,RACE,AIAN,48,50,34
2019,AZ,Arizona,BRFSS,Cardiovascular Disease,High blood pressure among adults,%,Crude Prevalence,48.7,48.7,39.6,58.0,Race/Ethnicity,"Black, non-Hispanic",4,CVD,CVD01,CRDPREV,RACE,BLK,49,50,31
2019,CA,California,BRFSS,Cardiovascular Disease,Taking medicine to control high blood pressure among adults with high blood pressure,%,Crude Prevalence,75.0,75.0,67.0,81.6,Race/Ethnicity,"Asian, non-Hispanic",6,CVD,CVD02,CRDPREV,RACE,ASN,37,38,32
2019,AZ,Arizona,BRFSS,Cardiovascular Disease,Taking medicine for high cholesterol among adults,%,Crude Prevalence,32.4,32.4,30.2,34.7,Sex,Female,4,CVD,CVD04,CRDPREV,SEX,SEXF,49,50,31
2019,AL,Alabama,BRFSS,Cardiovascular Disease,Taking medicine to control high blood pressure among adults with high blood pressure,%,Age-adjusted Prevalence,67.2,67.2,64.0,70.3,Overall,Overall,1,CVD,CVD02,AGEADJPREV,OVERALL,OVR,44,46,17
2019,AL,Alabama,NVSS,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause","cases per 100,000",Crude Rate,434.6,434.6,420.5,448.6,Age,Age >=65,1,CVD,CVD08,CRDRATE,AGE,AGE65P,44,46,17
2019,AK,Alaska,CMS Part A Claims Data,Cardiovascular Disease,"Hospitalization for heart failure as principal diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Crude Rate,8.74,8.74,7.86,9.62,Sex,Male,2,CVD,CVD06,CRDRATE,SEX,SEXM,48,50,34
2019,CA,California,BRFSS,Cardiovascular Disease,Taking medicine for high cholesterol among adults,%,Age-adjusted Prevalence,22.4,22.4,18.4,27.0,Race/Ethnicity,"Black, non-Hispanic",6,CVD,CVD04,AGEADJPREV,RACE,BLK,37,38,32
2019,AR,Arkansas,NVSS,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,94.4,94.4,74.0,118.7,Race/Ethnicity,Hispanic,5,CVD,CVD09,AGEADJRATE,RACE,HIS,42,39,51
2019,AK,Alaska,CMS Part A Claims Data,Cardiovascular Disease,"Hospitalization for heart failure as principal diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Crude Rate,7.18,7.18,6.53,7.83,Race/Ethnicity,"White, non-Hispanic",2,CVD,CVD06,CRDRATE,RACE,WHT,48,50,34
2019,AK,Alaska,BRFSS,Cardiovascular Disease,Taking medicine to control high blood pressure among adults with high blood pressure,%,Crude Prevalence,62.2,62.2,56.7,67.4,Race/Ethnicity,"White, non-Hispanic",2,CVD,CVD02,CRDPREV,RACE,WHT,48,50,34
2019,AR,Arkansas,NVSS,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,61.0,61.0,36.1,96.3,Race/Ethnicity,"Asian, non-Hispanic",5,CVD,CVD08,AGEADJRATE,RACE,ASN,42,39,51
2019,AZ,Arizona,BRFSS,Cardiovascular Disease,High cholesterol among adults who have been screened,%,Crude Prevalence,33.5,33.5,25.4,42.8,Race/Ethnicity,"Black, non-Hispanic",4,CVD,CVD03,CRDPREV,RACE,BLK,49,50,31
2019,CA,California,NVSS,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause","cases per 100,000",Crude Rate,47.8,47.8,46.8,48.8,Sex,Female,6,CVD,CVD07,CRDRATE,SEX,SEXF,37,38,32
2019,AR,Arkansas,NVSS,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,94.5,94.5,90.4,98.7,Sex,Female,5,CVD,CVD08,AGEADJRATE,SEX,SEXF,42,39,51
2019,AZ,Arizona,BRFSS,Cardiovascular Disease,High blood pressure among adults,%,Age-adjusted Prevalence,45.6,45.6,42.9,48.4,Sex,Female,4,CVD,CVD01,AGEADJPREV,SEX,SEXF,49,50,31
2019,AR,Arkansas,BRFSS,Cardiovascular Disease,High blood pressure among adults,%,Crude Prevalence,39.3,39.3,36.8,41.8,Sex,Female,5,CVD,CVD01,CRDPREV,SEX,SEXF,42,39,51
2019,AZ,Arizona,NVSS,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause","cases per 100,000",Crude Rate,148.6,148.6,144.7,152.6,Sex,Female,4,CVD,CVD09,CRDRATE,SEX,SEXF,49,50,31
2019,AL,Alabama,BRFSS,Cardiovascular Disease,High blood pressure among adults,%,Age-adjusted Prevalence,73.5,73.5,70.3,76.5,Race/Ethnicity,"Black, non-Hispanic",1,CVD,CVD01,AGEADJPREV,RACE,BLK,44,46,17
2019,AZ,Arizona,NVSS,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause","cases per 100,000",Crude Rate,796.1,796.1,780.8,811.4,Age,Age >=65,4,CVD,CVD09,CRDRATE,AGE,AGE65P,49,50,31
2019,AR,Arkansas,BRFSS,Cardiovascular Disease,High cholesterol among adults who have been screened,%,Age-adjusted Prevalence,32.3,32.3,30.1,34.5,Race/Ethnicity,"White, non-Hispanic",5,CVD,CVD03,AGEADJPREV,RACE,WHT,42,39,51
2019,CA,California,BRFSS,Cardiovascular Disease,Taking medicine to control high blood pressure among adults with high blood pressure,%,Crude Prevalence,74.7,74.7,71.7,77.5,Age,Age 45-64,6,CVD,CVD02,CRDPREV,AGE,AGE4564,37,38,32
2019,AK,Alaska,BRFSS,Cardiovascular Disease,High blood pressure among adults,%,Age-adjusted Prevalence,50.0,50.0,46.7,53.4,Overall,Overall,2,CVD,CVD01,AGEADJPREV,OVERALL,OVR,48,50,34
2019,CA,California,NVSS,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,65.6,65.6,64.0,67.3,Race/Ethnicity,Hispanic,6,CVD,CVD08,AGEADJRATE,RACE,HIS,37,38,32
2019,AZ,Arizona,BRFSS,Cardiovascular Disease,Taking medicine for high cholesterol among adults,%,Age-adjusted Prevalence,32.0,32.0,20.4,46.3,Race/Ethnicity,"Asian, non-Hispanic",4,CVD,CVD04,AGEADJPREV,RACE,ASN,49,50,31
2019,AZ,Arizona,BRFSS,Cardiovascular Disease,Taking medicine to control high blood pressure among adults with high blood pressure,%,Crude Prevalence,79.4,79.4,76.6,82.0,Race/Ethnicity,"White, non-Hispanic",4,CVD,CVD02,CRDPREV,RACE,WHT,49,50,31
2019,AK,Alaska,NVSS,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,147.0,147.0,92.1,222.6,Race/Ethnicity,"Multiracial, non-Hispanic",2,CVD,CVD09,AGEADJRATE,RACE,MRC,48,50,34
2019,CA,California,CMS Part A Claims Data,Cardiovascular Disease,"Hospitalization for heart failure as principal diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Crude Rate,27.32,27.32,26.57,28.08,Race/Ethnicity,Hispanic,6,CVD,CVD06,CRDRATE,RACE,HIS,37,38,32
2019,AR,Arkansas,NVSS,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause","cases per 100,000",Crude Rate,131.8,131.8,121.3,142.2,Race/Ethnicity,"Black, non-Hispanic",5,CVD,CVD08,CRDRATE,RACE,BLK,42,39,51
2019,AL,Alabama,BRFSS,Cardiovascular Disease,Taking medicine to control high blood pressure among adults with high blood pressure,%,Crude Prevalence,85.2,85.2,82.8,87.4,Sex,Female,1,CVD,CVD02,CRDPREV,SEX,SEXF,44,46,17
