YearEnd,LocationAbbr,State,DataSource,Topic,Question,DataValueUnit,DataValueType,DataValue,DataValueAlt,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1,Overall Public School Rank 2021,Higher Ed Quality 2021,School Safety Rank 2021,Ranking Level
2019,CT,Connecticut,BRFSS,Cardiovascular Disease,High cholesterol among adults who have been screened,%,Crude Prevalence,30.0,30.0,25.9,34.5,Race/Ethnicity,Hispanic,9,CVD,CVD03,CRDPREV,RACE,HIS,2,2,19,Top 10
2019,DE,Delaware,BRFSS,Cardiovascular Disease,High cholesterol among adults who have been screened,%,Age-adjusted Prevalence,31.9,31.9,29.0,34.9,Sex,Male,10,CVD,CVD03,AGEADJPREV,SEX,SEXM,9,15,2,Top 10
2019,DE,Delaware,NVSS,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause","cases per 100,000",Crude Rate,276.9,276.9,253.1,300.6,Age,Age >=65,10,CVD,CVD07,CRDRATE,AGE,AGE65P,9,15,2,Top 10
2019,CT,Connecticut,BRFSS,Cardiovascular Disease,Taking medicine to control high blood pressure among adults with high blood pressure,%,Age-adjusted Prevalence,47.6,47.6,41.9,53.5,Race/Ethnicity,Hispanic,9,CVD,CVD02,AGEADJPREV,RACE,HIS,2,2,19,Top 10
2019,DE,Delaware,BRFSS,Cardiovascular Disease,High blood pressure among adults,%,Crude Prevalence,36.4,36.4,34.3,38.5,Overall,Overall,10,CVD,CVD01,CRDPREV,OVERALL,OVR,9,15,2,Top 10
2019,CT,Connecticut,NVSS,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause","cases per 100,000",Crude Rate,12.3,12.3,9.7,15.5,Race/Ethnicity,Hispanic,9,CVD,CVD07,CRDRATE,RACE,HIS,2,2,19,Top 10
2019,CT,Connecticut,BRFSS,Cardiovascular Disease,High cholesterol among adults who have been screened,%,Crude Prevalence,35.4,35.4,33.4,37.4,Sex,Male,9,CVD,CVD03,CRDPREV,SEX,SEXM,2,2,19,Top 10
2019,DE,Delaware,CMS Part A Claims Data,Cardiovascular Disease,"Hospitalization for heart failure as principal diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Crude Rate,17.13,17.13,16.41,17.85,Race/Ethnicity,"White, non-Hispanic",10,CVD,CVD06,CRDRATE,RACE,WHT,9,15,2,Top 10
2019,CT,Connecticut,BRFSS,Cardiovascular Disease,Taking medicine to control high blood pressure among adults with high blood pressure,%,Crude Prevalence,93.5,93.5,92.0,94.8,Age,Age >=65,9,CVD,CVD02,CRDPREV,AGE,AGE65P,2,2,19,Top 10
2019,DE,Delaware,NVSS,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause","cases per 100,000",Crude Rate,30.0,30.0,19.9,43.3,Race/Ethnicity,Hispanic,10,CVD,CVD09,CRDRATE,RACE,HIS,9,15,2,Top 10
2019,DE,Delaware,BRFSS,Cardiovascular Disease,High blood pressure among adults,%,Crude Prevalence,38.8,38.8,36.4,41.3,Race/Ethnicity,"White, non-Hispanic",10,CVD,CVD01,CRDPREV,RACE,WHT,9,15,2,Top 10
2019,CT,Connecticut,NVSS,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause","cases per 100,000",Crude Rate,1.7,1.7,1.2,2.4,Age,Age 0-44,9,CVD,CVD08,CRDRATE,AGE,AGE0_44,2,2,19,Top 10
2019,CT,Connecticut,BRFSS,Cardiovascular Disease,High cholesterol among adults who have been screened,%,Age-adjusted Prevalence,30.8,30.8,28.9,32.7,Race/Ethnicity,"White, non-Hispanic",9,CVD,CVD03,AGEADJPREV,RACE,WHT,2,2,19,Top 10
2019,CT,Connecticut,NVSS,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,143.1,143.1,139.8,146.4,Overall,Overall,9,CVD,CVD09,AGEADJRATE,OVERALL,OVR,2,2,19,Top 10
2019,DE,Delaware,BRFSS,Cardiovascular Disease,High blood pressure among adults,%,Crude Prevalence,33.9,33.9,31.2,36.8,Sex,Female,10,CVD,CVD01,CRDPREV,SEX,SEXF,9,15,2,Top 10
2019,DE,Delaware,NVSS,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause","cases per 100,000",Crude Rate,48.9,48.9,39.6,58.3,Race/Ethnicity,"Black, non-Hispanic",10,CVD,CVD07,CRDRATE,RACE,BLK,9,15,2,Top 10
2019,CT,Connecticut,NVSS,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,26.7,26.7,25.2,28.1,Overall,Overall,9,CVD,CVD07,AGEADJRATE,OVERALL,OVR,2,2,19,Top 10
2019,CT,Connecticut,BRFSS,Cardiovascular Disease,High blood pressure among adults,%,Age-adjusted Prevalence,45.8,45.8,44.4,47.3,Overall,Overall,9,CVD,CVD01,AGEADJPREV,OVERALL,OVR,2,2,19,Top 10
2019,DE,Delaware,BRFSS,Cardiovascular Disease,High cholesterol among adults who have been screened,%,Crude Prevalence,35.4,35.4,33.3,37.6,Overall,Overall,10,CVD,CVD03,CRDPREV,OVERALL,OVR,9,15,2,Top 10
2019,CT,Connecticut,CMS Part A Claims Data,Cardiovascular Disease,"Hospitalization for heart failure as principal diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Crude Rate,30.73,30.73,30.1,31.36,Race/Ethnicity,"White, non-Hispanic",9,CVD,CVD06,CRDRATE,RACE,WHT,2,2,19,Top 10
2019,CT,Connecticut,BRFSS,Cardiovascular Disease,High cholesterol among adults who have been screened,%,Crude Prevalence,38.6,38.6,36.6,40.7,Age,Age 45-64,9,CVD,CVD03,CRDPREV,AGE,AGE4564,2,2,19,Top 10
2019,DE,Delaware,CMS Part A Claims Data,Cardiovascular Disease,"Hospitalization for heart failure as principal diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Crude Rate,19.8,19.8,18.76,20.85,Sex,Male,10,CVD,CVD06,CRDRATE,SEX,SEXM,9,15,2,Top 10
2019,DE,Delaware,BRFSS,Cardiovascular Disease,High cholesterol among adults who have been screened,%,Crude Prevalence,34.9,34.9,20.0,53.5,Race/Ethnicity,"Multiracial, non-Hispanic",10,CVD,CVD03,CRDPREV,RACE,MRC,9,15,2,Top 10
2019,CT,Connecticut,BRFSS,Cardiovascular Disease,High cholesterol among adults who have been screened,%,Age-adjusted Prevalence,29.2,29.2,27.2,31.4,Sex,Female,9,CVD,CVD03,AGEADJPREV,SEX,SEXF,2,2,19,Top 10
2019,DE,Delaware,NVSS,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,52.6,52.6,42.2,62.9,Race/Ethnicity,"Black, non-Hispanic",10,CVD,CVD07,AGEADJRATE,RACE,BLK,9,15,2,Top 10
2019,DE,Delaware,BRFSS,Cardiovascular Disease,Taking medicine to control high blood pressure among adults with high blood pressure,%,Crude Prevalence,36.4,36.4,27.3,46.5,Age,Age 18-44,10,CVD,CVD02,CRDPREV,AGE,AGE1844,9,15,2,Top 10
2019,CT,Connecticut,NVSS,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,84.6,84.6,74.7,94.6,Race/Ethnicity,"Black, non-Hispanic",9,CVD,CVD08,AGEADJRATE,RACE,BLK,2,2,19,Top 10
2019,CT,Connecticut,BRFSS,Cardiovascular Disease,High cholesterol among adults who have been screened,%,Crude Prevalence,30.4,30.4,21.2,41.3,Race/Ethnicity,"Multiracial, non-Hispanic",9,CVD,CVD03,CRDPREV,RACE,MRC,2,2,19,Top 10
2019,DE,Delaware,NVSS,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause","cases per 100,000",Crude Rate,56.2,56.2,35.2,85.0,Race/Ethnicity,"Asian, non-Hispanic",10,CVD,CVD09,CRDRATE,RACE,ASN,9,15,2,Top 10
2019,DE,Delaware,BRFSS,Cardiovascular Disease,Taking medicine to control high blood pressure among adults with high blood pressure,%,Crude Prevalence,73.1,73.1,68.1,77.6,Sex,Male,10,CVD,CVD02,CRDPREV,SEX,SEXM,9,15,2,Top 10
2019,CT,Connecticut,BRFSS,Cardiovascular Disease,Taking medicine to control high blood pressure among adults with high blood pressure,%,Crude Prevalence,81.3,81.3,74.9,86.4,Race/Ethnicity,"Black, non-Hispanic",9,CVD,CVD02,CRDPREV,RACE,BLK,2,2,19,Top 10
2019,DE,Delaware,BRFSS,Cardiovascular Disease,High blood pressure among adults,%,Crude Prevalence,44.6,44.6,41.2,48.1,Age,Age 45-64,10,CVD,CVD01,CRDPREV,AGE,AGE4564,9,15,2,Top 10
2019,CT,Connecticut,BRFSS,Cardiovascular Disease,High blood pressure among adults,%,Crude Prevalence,16.6,16.6,11.5,23.3,Race/Ethnicity,"Asian, non-Hispanic",9,CVD,CVD01,CRDPREV,RACE,ASN,2,2,19,Top 10
2019,DE,Delaware,BRFSS,Cardiovascular Disease,High cholesterol among adults who have been screened,%,Crude Prevalence,33.8,33.8,31.0,36.8,Sex,Female,10,CVD,CVD03,CRDPREV,SEX,SEXF,9,15,2,Top 10
2019,CT,Connecticut,CMS Part A Claims Data,Cardiovascular Disease,"Hospitalization for heart failure as principal diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Crude Rate,31.13,31.13,30.54,31.72,Overall,Overall,9,CVD,CVD06,CRDRATE,OVERALL,OVR,2,2,19,Top 10
2019,CT,Connecticut,BRFSS,Cardiovascular Disease,High blood pressure among adults,%,Age-adjusted Prevalence,53.0,53.0,40.8,64.8,Race/Ethnicity,"Multiracial, non-Hispanic",9,CVD,CVD01,AGEADJPREV,RACE,MRC,2,2,19,Top 10
2019,DE,Delaware,NVSS,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,159.7,159.7,151.8,167.6,Race/Ethnicity,"White, non-Hispanic",10,CVD,CVD09,AGEADJRATE,RACE,WHT,9,15,2,Top 10
2019,DE,Delaware,NVSS,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,116.4,116.4,107.5,125.3,Sex,Male,10,CVD,CVD08,AGEADJRATE,SEX,SEXM,9,15,2,Top 10
2019,DE,Delaware,CMS Part A Claims Data,Cardiovascular Disease,"Hospitalization for heart failure as principal diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Crude Rate,18.22,18.22,17.55,18.9,Overall,Overall,10,CVD,CVD06,CRDRATE,OVERALL,OVR,9,15,2,Top 10
2019,CT,Connecticut,CMS Part A Claims Data,Cardiovascular Disease,"Hospitalization for heart failure as principal diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Age-adjusted Rate,29.35,29.35,28.59,30.12,Sex,Female,9,CVD,CVD06,AGEADJRATE,SEX,SEXF,2,2,19,Top 10
2019,DE,Delaware,BRFSS,Cardiovascular Disease,High cholesterol among adults who have been screened,%,Age-adjusted Prevalence,27.1,27.1,22.8,31.8,Race/Ethnicity,"Black, non-Hispanic",10,CVD,CVD03,AGEADJPREV,RACE,BLK,9,15,2,Top 10
2019,DE,Delaware,BRFSS,Cardiovascular Disease,Taking medicine for high cholesterol among adults,%,Crude Prevalence,33.7,33.7,30.9,36.7,Sex,Female,10,CVD,CVD04,CRDPREV,SEX,SEXF,9,15,2,Top 10
2019,DE,Delaware,NVSS,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause","cases per 100,000",Crude Rate,22.6,22.6,17.2,29.2,Age,Age 45-64,10,CVD,CVD07,CRDRATE,AGE,AGE4564,9,15,2,Top 10
2019,CT,Connecticut,BRFSS,Cardiovascular Disease,Taking medicine for high cholesterol among adults,%,Crude Prevalence,36.2,36.2,34.7,37.7,Race/Ethnicity,"White, non-Hispanic",9,CVD,CVD04,CRDPREV,RACE,WHT,2,2,19,Top 10
2019,CT,Connecticut,BRFSS,Cardiovascular Disease,High cholesterol among adults who have been screened,%,Crude Prevalence,33.0,33.0,28.6,37.8,Race/Ethnicity,"Black, non-Hispanic",9,CVD,CVD03,CRDPREV,RACE,BLK,2,2,19,Top 10
2019,DE,Delaware,NVSS,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,154.3,154.3,147.5,161.1,Overall,Overall,10,CVD,CVD09,AGEADJRATE,OVERALL,OVR,9,15,2,Top 10
2019,DE,Delaware,BRFSS,Cardiovascular Disease,Taking medicine for high cholesterol among adults,%,Crude Prevalence,40.5,40.5,37.1,44.1,Age,Age 45-64,10,CVD,CVD04,CRDPREV,AGE,AGE4564,9,15,2,Top 10
2019,DE,Delaware,BRFSS,Cardiovascular Disease,High blood pressure among adults,%,Age-adjusted Prevalence,41.5,41.5,31.2,52.6,Race/Ethnicity,Hispanic,10,CVD,CVD01,AGEADJPREV,RACE,HIS,9,15,2,Top 10
2019,CT,Connecticut,NVSS,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause","cases per 100,000",Crude Rate,158.1,158.1,145.2,170.9,Race/Ethnicity,"Black, non-Hispanic",9,CVD,CVD09,CRDRATE,RACE,BLK,2,2,19,Top 10
2019,CT,Connecticut,BRFSS,Cardiovascular Disease,High blood pressure among adults,%,Crude Prevalence,12.3,12.3,10.7,14.2,Age,Age 18-44,9,CVD,CVD01,CRDPREV,AGE,AGE1844,2,2,19,Top 10
2019,DE,Delaware,BRFSS,Cardiovascular Disease,Taking medicine for high cholesterol among adults,%,Crude Prevalence,15.4,15.4,12.4,18.9,Age,Age 18-44,10,CVD,CVD04,CRDPREV,AGE,AGE1844,9,15,2,Top 10
2019,CT,Connecticut,NVSS,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause","cases per 100,000",Crude Rate,198.7,198.7,187.6,209.7,Age,Age >=65,9,CVD,CVD07,CRDRATE,AGE,AGE65P,2,2,19,Top 10
2019,CT,Connecticut,NVSS,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause","cases per 100,000",Crude Rate,999.9,999.9,975.2,1024.6,Age,Age >=65,9,CVD,CVD09,CRDRATE,AGE,AGE65P,2,2,19,Top 10
2019,CT,Connecticut,BRFSS,Cardiovascular Disease,Taking medicine for high cholesterol among adults,%,Age-adjusted Prevalence,30.2,30.2,28.7,31.7,Overall,Overall,9,CVD,CVD04,AGEADJPREV,OVERALL,OVR,2,2,19,Top 10
2019,CT,Connecticut,BRFSS,Cardiovascular Disease,High cholesterol among adults who have been screened,%,Age-adjusted Prevalence,29.2,29.2,25.2,33.5,Race/Ethnicity,"Black, non-Hispanic",9,CVD,CVD03,AGEADJPREV,RACE,BLK,2,2,19,Top 10
2019,DE,Delaware,BRFSS,Cardiovascular Disease,Taking medicine for high cholesterol among adults,%,Age-adjusted Prevalence,33.7,33.7,26.7,41.4,Race/Ethnicity,Hispanic,10,CVD,CVD04,AGEADJPREV,RACE,HIS,9,15,2,Top 10
2019,CT,Connecticut,BRFSS,Cardiovascular Disease,Taking medicine to control high blood pressure among adults with high blood pressure,%,Age-adjusted Prevalence,55.3,55.3,51.9,58.7,Race/Ethnicity,"White, non-Hispanic",9,CVD,CVD02,AGEADJPREV,RACE,WHT,2,2,19,Top 10
2019,CT,Connecticut,BRFSS,Cardiovascular Disease,Taking medicine for high cholesterol among adults,%,Crude Prevalence,33.5,33.5,31.7,35.3,Sex,Female,9,CVD,CVD04,CRDPREV,SEX,SEXF,2,2,19,Top 10
2019,CT,Connecticut,NVSS,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause","cases per 100,000",Crude Rate,500.3,500.3,482.8,517.7,Age,Age >=65,9,CVD,CVD08,CRDRATE,AGE,AGE65P,2,2,19,Top 10
2019,DE,Delaware,NVSS,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause","cases per 100,000",Crude Rate,9.1,9.1,6.7,12.0,Age,Age 0-44,10,CVD,CVD09,CRDRATE,AGE,AGE0_44,9,15,2,Top 10
2019,CT,Connecticut,NVSS,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,101.5,101.5,97.2,105.9,Sex,Male,9,CVD,CVD08,AGEADJRATE,SEX,SEXM,2,2,19,Top 10
2019,CT,Connecticut,NVSS,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,99.7,99.7,88.5,110.9,Race/Ethnicity,Hispanic,9,CVD,CVD09,AGEADJRATE,RACE,HIS,2,2,19,Top 10
2019,CT,Connecticut,CMS Part A Claims Data,Cardiovascular Disease,"Hospitalization for heart failure as principal diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Age-adjusted Rate,30.85,30.85,30.22,31.48,Race/Ethnicity,"White, non-Hispanic",9,CVD,CVD06,AGEADJRATE,RACE,WHT,2,2,19,Top 10
2019,CT,Connecticut,NVSS,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause","cases per 100,000",Crude Rate,55.8,55.8,51.2,60.5,Age,Age 45-64,9,CVD,CVD08,CRDRATE,AGE,AGE4564,2,2,19,Top 10
2019,CT,Connecticut,BRFSS,Cardiovascular Disease,Taking medicine for high cholesterol among adults,%,Age-adjusted Prevalence,29.2,29.2,21.2,38.8,Race/Ethnicity,"Multiracial, non-Hispanic",9,CVD,CVD04,AGEADJPREV,RACE,MRC,2,2,19,Top 10
2019,DE,Delaware,NVSS,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,42.6,42.6,37.8,47.3,Sex,Female,10,CVD,CVD07,AGEADJRATE,SEX,SEXF,9,15,2,Top 10
2019,CT,Connecticut,BRFSS,Cardiovascular Disease,High cholesterol among adults who have been screened,%,Crude Prevalence,19.6,19.6,17.3,22.1,Age,Age 18-44,9,CVD,CVD03,CRDPREV,AGE,AGE1844,2,2,19,Top 10
2019,CT,Connecticut,BRFSS,Cardiovascular Disease,Taking medicine for high cholesterol among adults,%,Crude Prevalence,49.1,49.1,47.0,51.2,Age,Age >=65,9,CVD,CVD04,CRDPREV,AGE,AGE65P,2,2,19,Top 10
2019,DE,Delaware,CMS Part A Claims Data,Cardiovascular Disease,"Hospitalization for heart failure as principal diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Crude Rate,28.47,28.47,26.11,30.83,Race/Ethnicity,"Black, non-Hispanic",10,CVD,CVD06,CRDRATE,RACE,BLK,9,15,2,Top 10
2019,DE,Delaware,BRFSS,Cardiovascular Disease,High cholesterol among adults who have been screened,%,Age-adjusted Prevalence,30.0,30.0,27.9,32.1,Overall,Overall,10,CVD,CVD03,AGEADJPREV,OVERALL,OVR,9,15,2,Top 10
2019,CT,Connecticut,NVSS,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause","cases per 100,000",Crude Rate,38.6,38.6,36.5,40.6,Overall,Overall,9,CVD,CVD07,CRDRATE,OVERALL,OVR,2,2,19,Top 10
2019,CT,Connecticut,BRFSS,Cardiovascular Disease,High blood pressure among adults,%,Crude Prevalence,43.1,43.1,38.5,47.8,Race/Ethnicity,"Black, non-Hispanic",9,CVD,CVD01,CRDPREV,RACE,BLK,2,2,19,Top 10
2019,DE,Delaware,NVSS,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause","cases per 100,000",Crude Rate,114.1,114.1,107.4,120.8,Overall,Overall,10,CVD,CVD08,CRDRATE,OVERALL,OVR,9,15,2,Top 10
2019,DE,Delaware,BRFSS,Cardiovascular Disease,High cholesterol among adults who have been screened,%,Age-adjusted Prevalence,30.9,30.9,28.0,33.8,Race/Ethnicity,"White, non-Hispanic",10,CVD,CVD03,AGEADJPREV,RACE,WHT,9,15,2,Top 10
2019,CT,Connecticut,NVSS,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,23.9,23.9,18.6,30.3,Race/Ethnicity,Hispanic,9,CVD,CVD07,AGEADJRATE,RACE,HIS,2,2,19,Top 10
2019,CT,Connecticut,BRFSS,Cardiovascular Disease,High blood pressure among adults,%,Crude Prevalence,28.9,28.9,27.4,30.6,Sex,Female,9,CVD,CVD01,CRDPREV,SEX,SEXF,2,2,19,Top 10
2019,CT,Connecticut,BRFSS,Cardiovascular Disease,Taking medicine for high cholesterol among adults,%,Crude Prevalence,32.9,32.9,28.4,37.6,Race/Ethnicity,"Black, non-Hispanic",9,CVD,CVD04,CRDPREV,RACE,BLK,2,2,19,Top 10
2019,CT,Connecticut,BRFSS,Cardiovascular Disease,Taking medicine to control high blood pressure among adults with high blood pressure,%,Crude Prevalence,56.9,56.9,48.2,65.1,Race/Ethnicity,Hispanic,9,CVD,CVD02,CRDPREV,RACE,HIS,2,2,19,Top 10
2019,DE,Delaware,NVSS,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause","cases per 100,000",Crude Rate,146.1,146.1,135.2,157.1,Sex,Male,10,CVD,CVD08,CRDRATE,SEX,SEXM,9,15,2,Top 10
2019,DE,Delaware,BRFSS,Cardiovascular Disease,High cholesterol among adults who have been screened,%,Crude Prevalence,55.8,55.8,52.2,59.4,Age,Age >=65,10,CVD,CVD03,CRDPREV,AGE,AGE65P,9,15,2,Top 10
2019,DE,Delaware,BRFSS,Cardiovascular Disease,Taking medicine to control high blood pressure among adults with high blood pressure,%,Crude Prevalence,91.8,91.8,88.6,94.2,Age,Age >=65,10,CVD,CVD02,CRDPREV,AGE,AGE65P,9,15,2,Top 10
2019,CT,Connecticut,NVSS,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause","cases per 100,000",Crude Rate,104.9,104.9,101.5,108.3,Overall,Overall,9,CVD,CVD08,CRDRATE,OVERALL,OVR,2,2,19,Top 10
2019,CT,Connecticut,BRFSS,Cardiovascular Disease,High blood pressure among adults,%,Age-adjusted Prevalence,42.7,42.7,40.8,44.6,Sex,Female,9,CVD,CVD01,AGEADJPREV,SEX,SEXF,2,2,19,Top 10
2019,CT,Connecticut,CMS Part A Claims Data,Cardiovascular Disease,"Hospitalization for heart failure as principal diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Age-adjusted Rate,36.37,36.37,35.37,37.36,Sex,Male,9,CVD,CVD06,AGEADJRATE,SEX,SEXM,2,2,19,Top 10
2019,DE,Delaware,BRFSS,Cardiovascular Disease,Taking medicine for high cholesterol among adults,%,Age-adjusted Prevalence,31.5,31.5,28.7,34.5,Sex,Male,10,CVD,CVD04,AGEADJPREV,SEX,SEXM,9,15,2,Top 10
2019,DE,Delaware,BRFSS,Cardiovascular Disease,High blood pressure among adults,%,Age-adjusted Prevalence,50.3,50.3,47.5,53.1,Race/Ethnicity,"White, non-Hispanic",10,CVD,CVD01,AGEADJPREV,RACE,WHT,9,15,2,Top 10
2019,DE,Delaware,NVSS,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,54.3,54.3,49.0,59.5,Sex,Female,10,CVD,CVD08,AGEADJRATE,SEX,SEXF,9,15,2,Top 10
2019,DE,Delaware,CMS Part A Claims Data,Cardiovascular Disease,"Hospitalization for heart failure as principal diagnosis, Medicare-beneficiaries aged 65 years and older","cases per 1,000",Age-adjusted Rate,37.35,37.35,22.48,52.23,Race/Ethnicity,Hispanic,10,CVD,CVD06,AGEADJRATE,RACE,HIS,9,15,2,Top 10
2019,DE,Delaware,NVSS,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause","cases per 100,000",Crude Rate,277.5,277.5,264.2,290.8,Race/Ethnicity,"White, non-Hispanic",10,CVD,CVD09,CRDRATE,RACE,WHT,9,15,2,Top 10
2019,CT,Connecticut,NVSS,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause","cases per 100,000",Age-adjusted Rate,25.9,25.9,24.4,27.4,Race/Ethnicity,"White, non-Hispanic",9,CVD,CVD07,AGEADJRATE,RACE,WHT,2,2,19,Top 10
2019,CT,Connecticut,BRFSS,Cardiovascular Disease,Taking medicine for high cholesterol among adults,%,Age-adjusted Prevalence,28.9,28.9,25.0,33.2,Race/Ethnicity,"Black, non-Hispanic",9,CVD,CVD04,AGEADJPREV,RACE,BLK,2,2,19,Top 10
2019,DE,Delaware,BRFSS,Cardiovascular Disease,Taking medicine for high cholesterol among adults,%,Age-adjusted Prevalence,30.6,30.6,27.8,33.6,Race/Ethnicity,"White, non-Hispanic",10,CVD,CVD04,AGEADJPREV,RACE,WHT,9,15,2,Top 10
